name,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
AnimalCrossing_Start,-284.43,-711.45,184.3,0,0,-0.79,0.61
AR_2,284.23,389.28,188.26,0,0,0.62,0.78
MissionPoint_A,104.92,734.7,190.6,0,0,0,1
MissionPoint_B,134.58,750.03,190.6,0,0,0,1
MissionPoint_C,164.05,735.23,190.6,0,0,0,1
MissionPoint_D,161.92,682.39,190.6,0,0,0,1
MissionPoint_E,223.19,562.46,190.6,0,0,0,1
MissionPoint_F,98.18,434.53,190.6,0,0,0,1
MissionPoint_G,160.18,317.96,190.6,0,0,0,1
MissionPoint_H,149.38,244.19,190.6,0,0,0,1
MissionPoint_I,-262.44,-19.49,190.6,0,0,0,1
MissionPoint_J,-162.49,-260.74,190.6,0,0,0,1
MissionPoint_K,-118.46,-314.61,190.6,0,0,0,1
MissionPoint_L,-76.37,-342.08,190.6,0,0,0,1
MissionPoint_M,-128.83,-350.22,190.6,0,0,0,1
MissionPoint_N,-326.93,-372.74,190.6,0,0,0,1
MissionPoint_O,-424.83,-535.43,190.6,0,0,0,1
MissionPoint_P,-378.67,-626.83,190.6,0,0,0,1
MissionPoint_Q,-262.65,-733.55,190.6,0,0,0,1
MissionPoint_R,-32.79,-744.76,190.6,0,0,0,1
MissionPoint_S,121.31,-745.82,190.6,0,0,0,1
MissionPoint_T,317.12,-738.47,190.6,0,0,0,1
MissionPoint_U,332.33,-706.72,190.6,0,0,0,1
MissionPoint_V,361.77,-598.91,190.6,0,0,0,1
MissionPoint_W,193.89,-398.29,190.6,0,0,0,1
MissionPoint_X,52.12,-278.02,190.6,0,0,0,1
MP_0,164.6,705.41,190.75,0,0,1,0.06
MP_A,127.41,733.65,190.31,0,0,0.672517,0.740082
MP_B,147,750.57,190.7,0,0,0,1
MP_C,181.53,737.72,190.19,0,0,0.05,1
MP_D,180.81,680.37,189.7,0,0,-0.34,0.94
MP_E,238.14,562.18,187.92,0,0,-0.62,0.78
MP_F,118.34,432.14,187.45,0,0,-0.72,0.69
MP_G,191.37,313.42,187.13,0,0,-0.72,0.69
MP_H,178.55,257.64,187.31,0,0,-0.93,0.36
MP_I,-247.75,-18.75,186.29,0,0,-0.68,0.73
MP_J,-147.91,-262.12,183.63,0,0,-0.3,0.95
MP_K,-105.92,-320.65,183.8,0,0,0.3,0.95
MP_L,-66.17,-354.18,183.4,0,0,-0.94,0.34
MP_M,-126.64,-349.43,184.3,0,0,1,0.09
MP_N,-313.94,-381.05,187.1,0,0,-0.87,0.5
MP_O,-407.54,-537.43,186.2,0,0,-0.71,0.71
MP_P,-360.47,-622.04,185.6,0,0,-0.57,0.82
MP_Q,-260.16,-735.65,182.6,0,0,0,1
MP_R,-32.79,-744.76,181.6,0,0,0,1
MP_S,121.31,-745.82,180.3,0,0,0,1
MP_T,330.34,-739.19,174,0,0,0.26,0.97
MP_U,347.57,-712.57,174.7,0,0,0.64,0.77
MP_V,371.02,-591.17,176.6,0,0,0.89,0.46
MP_W,201.32,-386.27,179.8,0,0,0.92,0.39
MP_X,78.04,-285.97,181.5,0,0,0.95,0.32
ScenarioPoint_A,-179.04,-231.31,190.6,0,0,0,1
ScenarioPoint_B,-288.59,-709.95,190.6,0,0,0,1
ScenarioPoint_C,-121.59,-697.87,190.6,0,0,0,1
ScenarioPoint_D,-119.54,-740.72,190.6,0,0,0,1
ScenarioPoint_E,155.01,-739.26,190.6,0,0,0,1
ScenarioPoint_F,168.07,-739.59,190.6,0,0,0,1
ScenarioPoint_G,208.76,-563.57,190.6,0,0,0,1
ScenarioPoint_H,-41.41,-228.53,190.6,0,0,0,1
ScenarioPoint_I,-135.52,22.27,190.6,0,0,0,1
ScenarioPoint_J,205.58,298.64,190.6,0,0,0,1
SP_D,-119.44,-740.82,181.9,0,0,0,1
SP_E,155.11,-739.37,179.9,0,0,0,1
SP_F,168.17,-739.69,180.1,0,0,0,1
SP_H,19.11,-247.789,182.37,0,0,0,1
TI_1,-121.49,-697.97,180.3,0,0,0,1
TI_2,160.61,-691.97,175,0,0,0,1
TI_3,185.01,-618.66,175.2,0,0,0,1
TI_4,5.11,-275.29,182.17,0,0,0,1
